cloud_cover,humidity,wind_speed,weather_code,sun_alt,moon_alt,moon_illum,visibility
79.1,23.1,30.4,51,-18.84,-15.66,0.91,0.0
30.3,40.9,25.2,2,23.83,-56.82,0.43,0.0
68.2,99.8,26.5,2,52.56,24.61,0.08,0.29
26.2,45.7,15.5,95,20.74,51.13,0.084,0.06
66.5,63.6,26.5,0,-13.01,36.65,0.955,30.61
26.1,17.1,35.7,0,64.85,-3.42,0.33,0.0
98.1,72.4,13.0,1,-85.77,34.33,0.759,1.37
47.1,19.0,15.7,1,-52.07,14.15,0.537,30.38
37.3,23.0,22.2,0,76.28,21.49,0.206,1.33
45.0,97.8,18.0,2,19.75,-22.05,0.993,0.0
76.4,88.0,2.3,95,-1.56,-10.5,0.972,0.0
64.0,43.5,31.8,65,-24.89,66.65,0.597,7.91
49.9,21.3,6.4,2,-9.29,-42.34,0.161,0.0
85.6,13.5,9.6,1,28.26,-42.8,0.426,0.0
5.9,82.1,11.2,1,24.54,-52.89,0.875,0.0
94.0,11.7,1.4,0,20.02,-12.74,0.076,0.0
93.0,44.3,37.8,3,-5.69,39.53,0.584,5.06
7.2,89.9,34.3,0,1.08,-44.63,0.699,0.0
34.3,78.0,18.5,1,8.36,17.65,0.03,2.13
8.6,58.2,2.4,61,19.64,46.25,0.481,0.84
89.9,25.8,11.7,0,53.22,81.32,0.06,0.15
38.6,49.3,1.8,0,2.24,51.38,0.524,15.78
8.4,25.8,37.7,61,13.31,51.45,0.689,3.99
52.7,15.3,0.9,1,-54.66,33.71,0.89,43.41
14.9,16.6,9.6,3,-61.69,-1.41,0.334,0.0
76.0,26.7,23.5,80,-48.41,76.62,0.835,4.42
68.0,64.8,19.2,2,-70.49,-17.55,0.423,0.0
38.5,95.5,0.8,3,-17.77,-19.02,0.002,0.0
90.6,43.1,33.5,0,26.72,-31.23,0.786,0.0
79.7,33.9,26.3,0,13.42,24.93,0.063,1.14
55.7,29.8,28.8,3,60.8,-26.87,0.473,0.0
29.1,27.9,18.0,1,84.54,-61.7,0.939,0.0
15.0,58.4,39.7,0,46.22,-23.76,0.926,0.0
83.2,32.5,24.8,3,78.63,51.47,0.174,0.34
7.7,32.4,11.7,0,15.02,35.91,0.051,1.33
2.9,79.2,39.4,0,-49.11,-33.39,0.037,0.0
85.3,44.9,16.8,2,-68.77,28.08,0.581,10.08
89.9,38.0,20.8,1,-38.45,-67.25,0.07,0.0
61.5,37.1,38.5,61,26.19,31.97,0.003,0.15
92.0,39.8,12.8,1,64.33,-64.66,0.834,0.0
67.9,18.3,1.9,1,-39.59,-46.81,0.52,0.0
29.3,23.0,18.4,95,29.11,45.17,0.438,0.1
10.6,99.1,8.9,0,15.21,39.02,0.463,1.47
31.4,37.2,35.2,45,1.71,-73.23,0.611,0.0
16.0,19.2,13.8,3,-5.04,22.73,0.286,39.03
63.4,85.0,33.7,1,20.27,-84.03,0.712,0.0
87.4,79.9,25.0,95,56.56,9.1,0.163,0.01
5.3,54.1,39.3,2,23.64,27.78,0.553,3.31
80.1,95.2,35.2,2,20.16,21.2,0.014,0.15
97.7,55.8,39.0,80,33.1,6.11,0.078,0.01
68.4,88.5,5.9,1,-33.62,60.12,0.701,18.37
4.0,22.7,35.6,0,48.53,-19.39,0.93,0.0
14.6,43.6,29.3,1,60.98,68.91,0.034,1.23
36.5,76.2,9.6,0,-49.48,37.36,0.988,47.24
33.9,84.7,5.0,45,-21.54,-59.77,0.106,0.0
5.8,19.0,14.3,0,73.4,-60.5,0.847,0.0
31.4,95.8,28.8,0,30.88,35.16,0.186,0.77
43.0,70.1,8.0,3,-24.69,85.38,0.739,41.26
0.2,85.7,21.9,0,-46.59,-33.97,0.015,0.0
99.1,47.0,31.0,0,59.87,-46.84,0.986,0.0
28.2,75.0,21.9,0,-13.65,-45.36,0.072,0.0
93.5,17.4,6.4,0,-6.2,-45.82,0.112,0.0
88.5,33.2,17.3,65,-67.03,51.84,0.773,2.87
72.1,40.5,6.4,2,-69.08,67.67,0.998,27.82
56.4,95.3,8.0,0,-45.02,-47.41,0.002,0.0
47.7,93.3,35.7,2,-56.68,-47.42,0.017,0.0
3.4,93.5,10.7,80,3.17,-45.43,0.693,0.0
56.9,68.4,12.3,0,-67.27,-15.96,0.248,0.0
14.1,83.6,28.4,1,43.57,45.88,0.002,0.85
0.9,38.8,31.0,3,-0.93,-9.52,0.007,0.0
99.8,98.3,19.7,0,-40.16,25.44,0.985,0.13
49.7,66.5,4.3,80,-41.0,-47.62,0.104,0.0
33.4,53.3,16.6,1,-10.27,-48.01,0.554,0.0
86.8,29.7,37.6,45,20.74,12.55,0.004,0.02
22.3,45.3,4.0,95,-44.07,35.04,0.974,3.81
68.6,53.6,33.8,2,-32.13,-38.04,0.598,0.0
26.4,33.0,37.2,1,-63.31,-65.85,0.049,0.0
99.3,79.1,36.6,3,-25.31,-8.37,0.917,0.0
86.1,28.6,5.7,2,-58.87,-34.84,0.159,0.0
76.5,21.7,32.4,3,-60.41,73.37,0.85,21.91
70.5,84.9,5.9,0,30.1,-50.62,0.46,0.0
5.9,98.6,31.3,0,-68.65,41.06,0.945,52.1
36.6,53.5,39.7,0,36.26,4.74,0.181,0.64
56.7,15.9,19.1,0,-38.04,54.88,0.974,42.44
10.5,18.6,18.5,1,11.22,-44.83,0.907,0.0
2.4,64.4,4.0,61,76.66,-65.44,0.968,0.0
28.4,35.4,8.6,2,47.19,34.03,0.247,1.56
51.6,73.4,29.1,0,46.25,-9.3,0.466,0.0
64.7,47.3,26.0,2,43.16,47.74,0.123,0.63
20.8,26.4,1.2,0,5.83,39.78,0.814,27.27
10.2,66.9,36.8,65,15.07,32.37,0.212,0.52
89.6,37.7,21.4,2,15.14,-28.82,0.137,0.0
54.9,77.7,34.3,2,5.66,-60.84,0.383,0.0
68.5,17.3,36.6,61,48.14,43.22,0.002,0.12
90.9,44.2,6.6,1,-53.95,-14.11,0.366,0.0
69.9,62.3,21.8,1,32.96,-25.56,0.991,0.0
91.1,12.5,27.5,0,-21.38,22.72,0.153,3.39
99.3,78.1,38.5,0,-58.35,21.93,0.461,0.33
83.5,39.3,1.5,0,3.95,49.99,0.241,2.85
49.1,34.5,20.5,0,40.73,-46.81,0.996,0.0
15.9,67.5,1.0,45,-74.64,11.11,0.72,5.26
86.2,75.9,8.7,48,-18.95,-49.69,0.138,0.0
59.6,39.2,17.0,80,-38.28,37.72,0.993,8.04
83.9,97.7,16.4,2,41.47,2.08,0.2,0.09
46.9,15.1,24.0,95,-17.08,-20.68,0.006,0.0
98.9,78.0,17.9,0,55.2,28.86,0.07,0.01
67.5,84.5,9.3,95,-44.82,10.9,0.312,0.52
71.9,36.6,25.1,48,-41.11,-9.08,0.793,0.0
21.8,83.8,14.4,2,61.85,-65.93,0.85,0.0
95.0,11.3,5.4,95,40.59,-13.98,0.938,0.0
9.8,83.8,35.4,61,7.19,-57.71,0.821,0.0
67.9,24.7,32.4,48,-7.96,-78.52,0.532,0.0
98.0,15.2,2.7,0,19.62,52.24,0.647,0.07
94.0,40.8,7.1,2,35.44,78.87,0.276,0.14
92.1,35.6,10.1,0,65.6,-22.01,0.508,0.0
54.7,59.8,20.0,95,33.06,27.59,0.007,0.03
63.8,36.1,0.3,1,-55.11,-63.23,0.021,0.0
30.6,21.3,31.8,3,25.17,41.74,0.404,2.01
80.5,85.7,31.5,3,-1.63,-63.94,0.33,0.0
54.9,43.8,20.0,1,30.81,-31.88,0.443,0.0
66.4,10.7,7.9,3,76.09,-63.95,0.978,0.0
70.9,19.9,24.8,3,-63.51,-35.58,0.378,0.0
66.1,68.6,10.6,45,-76.55,21.48,0.682,2.33
19.0,69.3,39.4,95,-74.32,0.64,0.39,1.04
68.2,72.7,9.7,0,22.22,-14.16,0.994,0.0
40.9,36.7,37.6,3,45.94,-24.63,0.88,0.0
89.9,40.9,5.8,2,54.95,-27.1,0.937,0.0
63.3,26.2,27.6,63,-63.31,25.62,0.89,10.6
84.8,41.2,15.5,1,11.32,14.9,0.003,0.61
83.9,47.3,17.9,2,26.18,-5.25,0.071,0.0
97.1,90.8,17.5,65,5.17,-10.77,0.022,0.0
62.5,84.3,12.7,1,-26.53,-79.12,0.351,0.0
39.3,95.7,8.6,3,32.59,28.01,0.007,0.43
25.2,61.1,14.1,3,76.44,-49.96,0.943,0.0
11.3,48.2,9.5,1,31.23,11.99,0.026,1.05
33.1,25.9,17.0,0,-75.16,-1.8,0.399,0.0
77.8,41.3,37.4,0,-58.96,-54.99,0.242,0.0
43.5,38.1,2.6,2,57.67,32.2,0.334,1.41
92.7,73.0,19.3,0,-68.01,44.92,0.931,6.24
30.9,19.7,27.2,63,-5.63,-51.62,0.541,0.0
47.9,56.0,32.7,3,55.64,41.12,0.239,1.17
74.5,19.6,3.8,0,-54.46,18.36,0.448,13.15
65.4,20.0,19.2,0,16.17,-35.95,0.488,0.0
97.1,61.3,8.1,3,-19.62,-40.26,0.33,0.0
23.7,99.0,28.8,45,77.28,25.34,0.374,0.12
80.9,78.6,35.6,95,13.19,7.5,0.91,0.09
74.8,62.0,14.3,0,43.6,9.84,0.685,0.61
24.5,64.7,8.3,1,-6.16,-27.99,0.896,0.0
94.5,78.7,27.8,2,-69.84,-72.76,0.001,0.0
87.8,15.5,18.2,65,-27.51,-69.17,0.409,0.0
16.9,86.0,4.6,1,-50.66,-5.44,0.232,0.0
62.9,62.8,23.8,61,56.5,-35.94,0.839,0.0
34.7,33.0,23.6,0,-47.42,24.15,0.353,35.32
65.8,87.3,18.3,0,63.41,-74.39,0.99,0.0
74.6,31.9,20.3,0,-16.89,52.46,0.661,19.92
43.4,87.0,5.6,2,-34.75,-16.51,0.778,0.0
32.5,35.2,21.9,2,6.98,-24.18,0.069,0.0
56.5,18.9,31.2,0,26.3,38.84,0.014,0.6
47.2,45.3,8.1,0,58.14,-43.62,0.688,0.0
55.9,85.1,24.2,0,-1.68,-20.43,0.963,0.0
69.8,49.8,22.7,80,35.0,34.2,0.34,0.16
50.8,46.9,13.0,2,9.86,-79.35,0.661,0.0
12.6,90.9,4.5,0,4.61,-27.22,0.112,0.0
24.4,20.7,23.3,1,-81.9,-74.41,0.011,0.0
73.1,32.2,10.4,65,8.56,-19.03,0.991,0.0
78.3,64.6,13.4,65,35.22,-46.46,0.951,0.0
29.9,85.5,31.5,0,-10.06,-18.86,0.935,0.0
60.2,38.0,14.5,51,46.45,-20.57,0.942,0.0
30.8,74.1,19.5,0,-20.97,-35.0,0.39,0.0
58.2,42.1,30.6,0,29.47,-67.54,0.859,0.0
20.6,56.7,19.2,65,73.41,34.64,0.226,0.5
0.3,25.8,30.4,63,-43.39,3.37,0.841,13.83
64.0,11.4,37.6,0,6.11,42.45,0.728,5.41
56.3,49.7,34.1,0,34.52,-58.1,0.96,0.0
93.4,12.4,21.7,2,69.84,-68.87,0.992,0.0
72.3,72.5,17.3,1,-43.66,-49.09,0.035,0.0
59.4,26.0,37.3,65,-67.94,58.04,0.993,12.71
29.0,77.1,26.4,63,-36.64,-36.13,0.003,0.0
7.7,36.5,35.4,2,16.39,55.3,0.408,2.69
3.3,57.9,24.3,65,56.96,-16.77,0.877,0.0
15.4,95.7,27.2,0,-6.09,38.93,0.319,23.89
57.4,70.6,2.3,45,-66.05,59.4,0.995,3.82
97.0,61.4,1.1,51,24.72,2.56,0.065,0.01
58.8,87.0,13.5,2,7.7,-31.16,0.233,0.0
29.7,56.0,7.0,3,65.69,1.78,0.274,0.8
39.7,57.2,35.1,71,28.07,52.5,0.225,0.4
13.6,30.7,17.5,2,-49.07,-34.88,0.073,0.0
86.0,39.3,36.2,80,-5.69,-29.97,0.042,0.0
13.7,33.3,4.3,0,-29.27,-22.36,0.647,0.0
45.7,74.4,0.3,65,-36.7,-42.9,0.004,0.0
1.6,78.3,25.9,1,-71.04,49.81,0.901,71.79
93.0,18.6,36.2,0,-48.34,-15.79,0.414,0.0
85.8,88.6,29.1,0,79.52,-84.15,0.998,0.0
78.8,86.6,11.6,0,-59.21,77.43,0.952,15.35
87.0,60.6,29.9,1,-18.23,78.15,0.593,8.56
45.6,13.9,14.4,0,75.77,-42.46,0.907,0.0
2.1,92.8,23.4,2,-7.3,-38.38,0.837,0.0
47.7,83.3,2.4,48,31.56,-3.31,0.169,0.0
39.8,67.7,39.2,0,34.36,50.15,0.027,0.77
7.3,15.8,22.9,1,-15.65,43.25,0.596,67.86
16.7,89.8,8.2,0,-16.52,-86.21,0.36,0.0
61.8,71.8,31.3,0,4.71,-57.74,0.799,0.0
39.2,47.9,39.4,3,-35.66,-45.29,0.571,0.0
18.0,73.1,8.5,0,22.46,-31.49,0.378,0.0
99.9,99.6,13.5,65,-7.42,22.2,0.951,0.02
87.7,64.5,4.3,3,29.92,-29.58,0.251,0.0
72.5,95.2,30.6,45,-25.01,47.92,0.444,0.93
76.3,72.0,12.6,51,-73.25,26.51,0.849,5.66
18.1,12.6,35.0,0,31.14,-46.23,0.908,0.0
10.0,97.7,14.4,0,-3.46,73.55,0.504,31.07
71.5,22.8,13.8,51,-57.71,-59.77,0.015,0.0
73.0,58.3,33.8,0,31.05,-38.12,0.997,0.0
53.5,17.7,1.4,80,-50.12,13.64,0.893,7.52
52.1,37.6,35.9,3,-27.72,68.28,0.814,43.29
1.7,60.3,20.9,63,26.92,-8.17,0.128,0.0
7.1,29.8,9.3,80,25.06,39.65,0.051,0.27
69.8,15.0,11.0,0,-34.71,-12.91,0.087,0.0
89.6,52.5,38.1,0,14.32,-26.32,0.148,0.0
14.8,18.7,8.3,0,-14.54,-51.17,0.684,0.0
40.5,38.6,11.4,3,40.62,-8.26,0.344,0.0
68.4,39.8,4.2,3,-57.58,-5.84,0.7,0.0
40.6,36.4,7.0,0,21.07,-28.96,0.985,0.0
38.2,78.0,29.0,0,17.79,12.59,0.001,0.54
64.5,82.8,34.7,3,-32.73,-38.03,0.003,0.0
67.2,39.6,22.2,2,-40.36,-82.67,0.187,0.0
13.6,15.3,11.9,71,-31.21,39.4,0.555,17.29
92.6,62.6,9.2,0,10.0,-54.79,0.451,0.0
40.7,25.4,31.1,0,-65.76,-22.46,0.34,0.0
7.6,40.7,35.0,0,-20.66,16.2,0.998,85.21
73.1,56.1,34.1,95,7.2,10.33,0.928,0.21
59.9,21.0,39.4,80,3.11,-34.8,0.148,0.0
57.8,76.5,23.2,61,-36.44,-7.49,0.866,0.0
60.0,75.4,24.8,95,82.15,51.44,0.089,0.02
53.3,75.5,34.4,2,71.35,-43.66,0.891,0.0
93.8,87.2,31.0,0,-2.98,61.53,0.758,3.98
2.5,92.9,22.5,0,-30.91,3.06,0.931,26.7
93.5,97.0,16.0,1,36.28,-12.75,0.886,0.0
53.3,17.0,9.6,95,-22.69,11.86,0.992,2.04
85.9,43.5,29.2,0,-40.98,-41.81,0.523,0.0
66.3,96.1,33.1,61,-32.25,-48.04,0.046,0.0
20.7,61.4,21.0,65,52.55,76.93,0.05,0.32
43.6,40.7,29.1,51,-25.46,-17.66,0.011,0.0
14.7,41.7,24.1,0,8.48,-4.28,0.998,0.0
98.8,83.6,19.2,0,52.76,-12.8,0.877,0.0
80.4,27.1,8.9,1,76.72,-83.71,0.977,0.0
49.9,31.4,37.5,65,-59.87,7.94,0.786,9.28
3.1,29.3,37.1,0,-30.23,-23.5,0.005,0.0
15.3,75.4,4.6,95,81.05,-33.92,0.707,0.0
35.6,86.4,8.2,3,-28.23,71.19,0.789,40.66
16.6,42.9,1.4,45,-4.92,2.87,0.024,1.12
22.2,83.1,10.0,0,62.81,-52.22,0.989,0.0
82.2,77.6,24.5,51,-51.68,62.03,0.848,3.72
67.1,69.0,14.3,0,-13.29,-43.32,0.066,0.0
34.7,81.4,14.2,3,-44.37,-9.6,0.114,0.0
63.8,75.0,31.3,0,-37.99,26.74,0.705,22.24
58.5,45.2,33.5,2,-73.33,-70.61,0.001,0.0
59.1,60.3,12.9,65,6.58,-71.8,0.661,0.0
14.2,12.2,13.7,3,-53.14,-5.36,0.764,0.0
8.1,99.7,21.3,0,-68.38,-71.87,0.005,0.0
11.5,86.7,34.1,0,-19.17,-16.95,0.792,0.0
41.9,24.2,30.8,1,-64.4,62.95,0.867,54.89
82.5,17.5,1.6,45,-29.28,-65.81,0.386,0.0
74.2,25.7,33.7,1,-56.85,-8.17,0.72,0.0
89.9,17.7,1.5,0,-19.95,-48.49,0.684,0.0
54.2,61.4,10.1,1,42.41,14.86,0.078,0.56
14.0,57.8,15.2,1,20.25,17.3,0.621,2.71
98.1,50.5,31.2,0,20.92,60.09,0.118,0.03
49.4,85.8,10.3,0,-65.19,-66.6,0.004,0.0
78.1,50.6,15.4,0,-50.3,56.85,0.995,21.84
0.2,16.4,2.6,2,-75.8,75.12,0.988,98.9
50.3,39.2,2.7,0,-12.76,16.64,0.998,43.67
13.2,45.3,0.1,2,14.42,9.88,0.95,10.53
47.1,94.1,7.6,0,10.94,18.17,0.728,3.67
51.7,23.7,15.0,1,-18.39,35.61,0.399,26.54
38.1,84.8,23.4,65,20.35,-7.51,0.928,0.0
0.2,34.6,33.8,2,57.01,-8.35,0.823,0.0
50.9,25.3,24.9,1,-60.64,39.94,0.602,36.22
54.4,30.0,24.3,0,33.36,-2.96,0.869,0.0
57.0,71.2,22.0,2,87.58,19.16,0.339,0.9
51.0,21.9,5.3,2,-3.35,-13.29,0.007,0.0
38.8,39.7,10.1,0,13.1,37.12,0.049,3.16
87.5,98.5,1.4,1,-30.44,38.06,0.995,6.85
36.5,77.3,5.1,0,12.75,51.47,0.126,2.95
79.2,16.8,17.3,0,40.96,8.33,0.123,0.25
72.2,32.2,9.6,51,-65.75,19.56,0.651,5.41
89.8,43.1,15.9,3,35.16,-30.67,0.893,0.0
80.2,76.0,29.8,3,-59.17,27.47,0.841,13.72
18.0,74.9,36.3,1,-20.46,35.16,0.961,75.21
83.0,69.4,5.4,0,63.88,-38.94,0.651,0.0
16.2,55.3,24.3,0,-78.34,-38.77,0.219,0.0
33.8,12.8,25.7,0,59.01,71.69,0.129,1.21
61.9,69.2,34.9,0,-21.02,4.09,0.969,17.56
86.5,10.9,14.1,63,-59.65,-44.47,0.367,0.0
70.7,41.0,14.0,2,-15.97,21.71,0.111,9.76
9.0,14.2,38.8,0,60.14,-82.5,0.963,0.0
59.6,22.4,17.5,61,-11.69,27.85,0.963,11.78
33.8,15.6,22.7,3,-27.94,37.07,0.787,58.46
49.2,14.2,31.2,2,73.41,-9.02,0.479,0.0
21.5,60.6,8.0,3,-74.19,7.7,0.475,29.96
24.4,38.0,16.1,0,37.51,-30.33,0.71,0.0
73.6,28.3,17.5,48,36.75,-19.66,0.221,0.0
83.0,96.6,5.7,61,-24.92,-8.76,0.023,0.0
98.7,30.0,19.0,3,-33.12,23.29,0.232,0.56
47.1,15.4,18.5,2,-81.64,29.19,0.721,41.86
98.8,45.8,24.7,1,-15.07,10.35,0.997,1.07
71.2,82.8,22.9,3,35.78,46.76,0.044,0.32
55.1,26.7,6.3,51,61.71,71.26,0.055,0.2
2.6,89.8,5.9,2,-51.32,-8.15,0.244,0.0
53.9,79.2,17.4,0,-21.45,-48.18,0.546,0.0
34.2,98.8,13.9,0,-19.74,-61.71,0.314,0.0
96.2,96.0,3.0,0,65.31,32.77,0.419,0.06
14.7,59.8,27.2,1,-60.91,-32.31,0.46,0.0
63.1,15.4,10.1,0,52.69,-49.05,0.997,0.0
66.7,55.6,15.0,0,-43.91,-26.64,0.102,0.0
25.7,11.6,12.3,65,-35.17,51.12,0.88,20.29
28.1,72.9,29.3,0,-60.58,63.35,0.999,67.91
31.7,67.4,10.7,3,26.85,36.5,0.051,0.89
19.3,60.2,22.2,0,-29.9,-66.57,0.359,0.0
41.4,84.0,39.3,0,-75.84,83.68,0.971,45.12
68.6,82.1,5.3,61,19.36,45.48,0.707,0.28
52.6,49.3,35.5,0,37.47,-38.98,0.545,0.0
56.7,99.8,26.7,63,-58.55,-33.07,0.062,0.0
59.4,26.7,18.9,0,-18.87,-18.63,0.005,0.0
24.8,36.3,5.4,0,-5.61,-8.34,0.952,0.0
48.2,34.7,24.2,2,69.63,64.96,0.009,0.7
2.9,46.1,34.7,80,-36.23,65.64,0.882,18.6
83.9,88.4,18.7,63,21.1,-29.67,0.995,0.0
34.6,29.4,15.8,3,-19.04,-3.17,0.069,0.0
21.4,56.3,27.2,1,20.42,21.46,0.866,3.71
17.9,94.1,30.7,0,-54.13,56.87,0.998,47.32
97.5,34.9,21.5,0,64.23,34.35,0.419,0.08
43.9,61.2,12.1,95,-4.82,-46.23,0.318,0.0
26.6,16.7,19.9,2,37.13,-80.76,0.785,0.0
97.0,29.2,4.9,0,-65.88,-79.44,0.014,0.0
72.4,36.9,39.2,0,-43.19,-46.17,0.001,0.0
37.0,11.3,11.5,0,57.24,48.44,0.016,0.83
25.8,85.3,14.3,1,69.35,-73.66,0.998,0.0
33.5,82.7,20.5,0,-11.01,-1.32,0.009,0.0
61.0,10.0,30.2,2,10.79,-53.24,0.871,0.0
44.9,35.6,20.4,61,-30.5,26.15,0.999,17.33
25.3,15.9,36.4,0,-8.85,88.55,0.57,53.14
40.2,27.2,24.3,0,-33.12,-58.52,0.106,0.0
57.3,72.2,27.4,71,-44.95,-1.33,0.658,0.0
14.1,38.2,24.3,2,13.71,18.87,0.004,3.61
18.6,89.5,35.9,65,-60.6,-63.92,0.001,0.0
19.9,86.5,10.5,80,7.98,53.66,0.35,1.11
63.1,11.1,35.3,0,63.37,42.81,0.308,0.93
43.0,63.9,29.9,1,46.89,-46.74,0.79,0.0
15.4,72.7,16.0,0,10.85,60.96,0.651,10.13
92.5,37.7,32.8,1,-38.4,-82.8,0.196,0.0
75.1,24.7,0.1,80,53.78,-19.18,0.547,0.0
43.2,22.6,32.5,71,11.93,37.92,0.054,0.93
86.4,29.0,28.6,63,-25.15,3.56,0.067,0.64
58.4,82.0,0.2,0,-48.65,55.65,0.666,23.41
87.3,10.5,29.1,2,63.12,13.89,0.423,0.33
19.9,54.5,15.3,65,-23.33,-2.61,0.051,0.0
24.0,38.4,13.6,3,37.07,34.44,0.0,0.95
31.8,24.4,24.7,3,-77.31,-20.96,0.238,0.0
62.2,52.5,6.7,0,76.5,36.49,0.267,0.85
17.7,79.1,15.8,0,64.29,21.46,0.255,1.36
27.7,29.5,32.9,2,-14.83,-47.33,0.195,0.0
49.5,63.6,23.1,1,-56.97,4.33,0.316,11.63
97.2,26.8,4.6,1,63.08,-25.91,0.508,0.0
15.9,15.3,38.9,0,14.31,1.64,0.973,7.79
18.8,48.9,39.3,0,82.57,-10.46,0.609,0.0
92.6,27.1,33.1,2,-36.84,1.95,0.875,3.55
49.3,90.9,29.7,2,-44.07,-60.6,0.027,0.0
48.1,21.2,14.8,63,62.45,-55.26,0.862,0.0
85.1,60.5,8.7,3,5.29,-17.29,0.037,0.0
62.4,40.5,35.4,0,-28.39,53.76,0.674,29.83
90.2,46.5,29.6,3,63.5,-55.61,0.875,0.0
4.8,26.2,25.9,63,29.75,65.64,0.184,0.58
74.2,44.0,11.3,0,-37.61,-17.22,0.788,0.0
73.2,88.5,12.3,2,76.06,-2.07,0.62,0.0
31.2,53.9,5.4,63,-50.82,-62.86,0.012,0.0
8.3,17.8,38.1,0,58.33,42.89,0.062,1.43
86.5,44.4,23.9,95,-51.65,3.11,0.41,0.2
74.6,91.7,27.1,51,-5.24,-44.91,0.112,0.0
93.1,12.7,34.9,95,30.54,26.89,0.616,0.01
66.2,97.9,2.3,0,56.19,26.25,0.187,0.36
98.7,74.2,35.3,1,-5.35,41.33,0.273,0.58
77.1,32.1,21.0,2,-11.37,-54.78,0.485,0.0
92.0,27.1,25.9,2,6.78,-61.54,0.704,0.0
41.5,22.3,28.3,0,38.17,-38.62,0.977,0.0
37.2,97.4,34.3,1,56.14,51.46,0.059,0.53
19.2,95.3,20.5,0,-16.87,37.36,0.286,21.66
39.9,66.4,6.3,65,-32.69,33.61,0.998,16.21
57.7,58.5,21.9,0,-58.61,-21.12,0.12,0.0
96.2,94.9,21.3,0,-21.59,-62.72,0.143,0.0
83.3,16.5,8.4,0,8.53,73.08,0.358,1.56
23.4,47.0,18.7,0,-5.04,17.66,0.984,66.62
63.4,93.6,14.5,0,-68.4,71.07,0.922,18.96
59.4,15.4,11.3,0,-34.5,29.87,0.995,40.43
73.4,44.7,31.9,61,-41.34,40.89,0.998,8.38
8.9,64.7,35.7,95,-43.73,47.67,0.543,2.83
48.7,42.0,0.3,80,-41.66,-39.67,0.004,0.0
70.3,75.6,27.5,45,37.83,-45.12,0.592,0.0
18.8,45.5,39.0,65,43.55,-18.92,0.871,0.0
19.4,98.4,6.8,2,74.58,-44.45,0.839,0.0
64.5,24.2,32.3,2,-40.85,23.39,0.331,18.58
96.5,84.1,39.1,0,-22.45,39.89,0.661,2.03
50.7,14.2,30.8,2,38.22,-21.89,0.445,0.0
33.1,76.1,29.2,61,-25.39,-57.65,0.075,0.0
38.7,66.6,35.9,0,-9.17,-77.44,0.345,0.0
52.7,17.8,35.2,65,17.59,-35.59,0.196,0.0
86.4,10.9,10.9,0,55.34,60.64,0.271,0.31
96.5,32.6,12.7,0,-5.27,28.85,0.929,3.27
63.4,65.0,7.8,65,41.48,-58.99,0.62,0.0
6.3,63.6,27.4,3,-1.92,-10.75,0.007,0.0
0.0,55.8,9.7,2,11.45,24.44,0.062,5.34
46.6,78.1,6.7,0,23.61,48.08,0.641,1.46
